Region,State,ParkName,RecreationVisits
Northeast,ME,Acadia NP,134113188
Intermountain,UT,Arches NP,39675085
Midwest,SD,Badlands NP,45958032
Intermountain,TX,Big Bend NP,14476096
Southeast,FL,Biscayne NP,20815641
Intermountain,CO,Black Canyon of the Gunnison NP,10973033
Intermountain,UT,Bryce Canyon NP,54254911
Intermountain,UT,Canyonlands NP,18491617
Intermountain,UT,Capitol Reef NP,29963941
Intermountain,NM,Carlsbad Caverns NP,24320852
Pacific West,CA,Channel Islands NP,14101392
Southeast,SC,Congaree NP,3883782
Pacific West,OR,Crater Lake NP,21881349
Midwest,OH,Cuyahoga Valley NP,98799880
Pacific West,CA,Death Valley NP,42193595
Alaska,AK,Denali NP & PRES,19369556
Southeast,FL,Dry Tortugas NP,2122966
Southeast,FL,Everglades NP,41698985
Alaska,AK,Gates of the Arctic NP & PRES,287835
Midwest,MO,Gateway Arch NP,108733886
Alaska,AK,Glacier Bay NP & PRES,14631112
Intermountain,MT,Glacier NP,93194615
Intermountain,AZ,Grand Canyon NP,186529149
Intermountain,WY,Grand Teton NP,111809879
Pacific West,NV,Great Basin NP,3841960
Intermountain,CO,Great Sand Dunes NP & PRES,13315673
Southeast,TN,Great Smoky Mountains NP,439650449
Intermountain,TX,Guadalupe Mountains NP,8158561
Pacific West,HI,Haleakala NP,53513369
Pacific West,HI,Hawaii Volcanoes NP,63504363
Midwest,AR,Hot Springs NP,63435985
Midwest,IN,Indiana Dunes NP,83396931
Midwest,MI,Isle Royale NP,905644
Pacific West,CA,Joshua Tree NP,65223035
Alaska,AK,Katmai NP & PRES,1770963
Alaska,AK,Kenai Fjords NP,9353940
Pacific West,CA,Kings Canyon NP,30814121
Alaska,AK,Kobuk Valley NP,260124
Alaska,AK,Lake Clark NP & PRES,476426
Pacific West,CA,Lassen Volcanic NP,18916078
Southeast,KY,Mammoth Cave NP,58198398
Intermountain,CO,Mesa Verde NP,25517152
Pacific West,WA,Mount Rainier NP,58514961
Pacific West,AS,National Park of American Samoa,299130
Northeast,WV,New River Gorge NP & PRES,41446694
Pacific West,WA,North Cascades NP,8996196
Pacific West,WA,Olympic NP,134441507
Intermountain,AZ,Petrified Forest NP,31377677
Pacific West,CA,Pinnacles NP,8881057
Pacific West,CA,Redwood NP,19991512
Intermountain,CO,Rocky Mountain NP,140173834
Intermountain,AZ,Saguaro NP,32630951
Pacific West,CA,Sequoia NP,45109693
Northeast,VA,Shenandoah NP,68391485
Midwest,ND,Theodore Roosevelt NP,23946511
Southeast,VI,Virgin Islands NP,24954616
Midwest,MN,Voyageurs NP,10003168
Intermountain,NM,White Sands NP,24590286
Midwest,SD,Wind Cave NP,27639533
Alaska,AK,Wrangell-St. Elias NP & PRES,2039977
Intermountain,WY,Yellowstone NP,139394679
Pacific West,CA,Yosemite NP,155709017
Intermountain,UT,Zion NP,119116876
